id,district,address,total_price,price_per_meter,build_time,num_of_bedrooms,num_of_living_rooms,size,orientation,building_type,num_of_floors
2720,昌平,南口小学教师楼,低价格,稍低价格,1994,2,1,低价格,南 北,底层 ,5
2721,昌平,佳运园一期,中价格,中价格,1998,3,1,中价格,东 西,中楼层 ,6
2722,昌平,五街法院宿舍满井47号,稍低价格,稍低价格,1989,3,1,中价格,东 南 西 北,中楼层 ,6
2723,昌平,富泉花园,中价格,中价格,2000,2,2,中价格,南 北,低楼层 ,3
2724,昌平,检测厂宿舍楼,低价格,稍低价格,1981,2,1,低价格,南 北,底层 ,5
2725,昌平,蔚?府,稍低价格,稍低价格,2015,2,1,中价格,东 西,高楼层 ,16
2726,昌平,南厂住宅中区,稍低价格,稍低价格,2008,2,1,中价格,南 北,顶层 ,6
2727,昌平,清真寺胡同,稍低价格,稍低价格,1985,2,1,低价格,南 北,底层 ,5
2728,昌平,长滩壹号,中价格,中价格,2010,2,2,中价格,南 北,中楼层 ,9
2729,昌平,昌平宽街,稍低价格,中价格,1998,3,2,中价格,南 北,底层 ,7
2730,昌平,丰景高苑,稍低价格,稍低价格,2001,2,1,中价格,南 北,底层 ,6
2731,昌平,财贸干校宿舍楼,稍低价格,稍低价格,1995,3,1,稍低价格,南 北,顶层 ,6
2732,昌平,毛纺厂宿舍,稍低价格,中价格,1994,3,1,稍低价格,南 北,中楼层 ,4
2733,昌平,森林大第,中高价格,中价格,2003,3,2,中高价格,南 北,低楼层 ,6
2734,昌平,西环路甲2号,稍低价格,稍低价格,2001,3,1,中价格,西 东,高楼层 ,6
2735,昌平,商业宿舍楼,稍低价格,中价格,1990,2,1,低价格,南 北,中楼层 ,4
2736,昌平,龙禧苑五区,中价格,中价格,2002,2,1,稍低价格,南 北,中楼层 ,7
2737,昌平,八仙别墅仙霞东里,中价格,稍低价格,1998,3,2,中高价格,南 北,中楼层 ,5
2738,昌平,南口镇东街14号,低价格,稍低价格,1992,2,1,低价格,南,中楼层 ,4
2739,昌平,鹿牌家园小区,稍低价格,稍低价格,2002,3,1,中价格,南 北,高楼层 ,6
2740,昌平,畅椿阁,稍低价格,稍低价格,2009,2,1,中价格,南,低楼层 ,17
2741,昌平,博达小区,稍低价格,稍低价格,2002,2,1,中价格,南 北,顶层 ,6
2742,昌平,南口镇南辛路2号,低价格,稍低价格,1988,2,1,稍低价格,南 北,底层 ,6
2743,昌平,福地家园,中价格,稍低价格,2000,3,2,中高价格,南 北,底层 ,6
2744,昌平,后石王庙胡同,中价格,稍低价格,1997,3,2,中价格,南 北,顶层 ,3
2745,昌平,燕城苑北区,稍低价格,稍低价格,1995,3,1,稍低价格,南 北,高楼层 ,6
2746,昌平,财神庙胡同,中价格,稍低价格,1998,3,2,高价格,南 北,中楼层 ,6
2747,昌平,王府公寓三区,稍低价格,稍低价格,1995,2,2,中价格,南 北,中楼层 ,5
2748,昌平,燕城北苑,稍低价格,稍低价格,2010,2,1,中价格,东 西,中楼层 ,10
2749,昌平,游览路7号院,低价格,稍低价格,1999,2,1,低价格,南 北,顶层 ,5
2750,昌平,九台庄园,稍低价格,中价格,2000,2,2,中价格,南 北,中楼层 ,5
2751,昌平,桃花苑,稍低价格,稍低价格,1995,2,1,中价格,南 北,中楼层 ,7
2752,昌平,燕大宿舍,稍低价格,稍低价格,1985,2,1,稍低价格,南 北,中楼层 ,5
2753,昌平,石油大学松园宿舍,稍低价格,稍低价格,1985,3,1,稍低价格,南 北,顶层 ,5
2754,昌平,佳莲二期,稍低价格,稍低价格,2005,2,2,稍低价格,东 西,低楼层 ,6
2755,昌平,鼓楼大街西侧1号楼,稍低价格,稍低价格,2002,3,1,中价格,南 北,高楼层 ,7
2756,昌平,蓬莱公寓西区,稍低价格,稍低价格,1999,4,2,中高价格,南 北,顶层 ,6
2757,昌平,王府花园,中价格,稍低价格,1995,3,1,高价格,南 北,中楼层 ,8
2758,昌平,沙河药材仓库宿舍,稍低价格,稍低价格,1997,2,1,稍低价格,南 北,底层 ,6
2759,昌平,交通队宿舍楼,稍低价格,稍低价格,1999,2,2,中价格,南 北,顶层 ,6
2760,昌平,招商嘉铭珑原,高价格,高价格,2012,5,2,高价格,南 北,顶层 ,9
2761,昌平,都市芳园丽湖园,中价格,稍低价格,2000,4,1,中高价格,南 北,中楼层 ,5
2762,昌平,展思门56号院,低价格,稍低价格,1989,2,1,低价格,南 北,底层 ,1
2763,昌平,铁佛庵,稍低价格,中价格,1991,2,1,稍低价格,南 北,底层 ,6
2764,昌平,龙跃苑东二区,中价格,中价格,2007,2,2,中价格,北 南,顶层 ,6
2765,昌平,弘大路,中价格,稍低价格,2000,3,2,高价格,南 北,中楼层 ,5
2766,昌平,兴隆街,低价格,稍低价格,2003,2,1,稍低价格,南 北,顶层 ,4
2767,昌平,龙锦苑四区,中价格,中价格,2003,2,1,中价格,南 北,中楼层 ,6
2768,昌平,北一街8号,中高价格,中价格,2006,3,2,高价格,南 北,低楼层 ,9
